taxon,trophicMode,guild,confidenceRanking,functional_group,name
Meira,Pathotroph,|Animal Parasite|-Animal Pathogen-Plant Pathogen,Probable,Pathogen,meira
Torulaspora,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,torulaspora
Spathaspora,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Undefined Saprotroph,Probable,Other saprotroph,spathaspora
Wickerhamomyces,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,wickerhamomyces
Taphrina,Pathotroph,|Plant Pathogen|,Probable,Pathogen,taphrina
Protomyces,Pathotroph,|Plant Pathogen|,Probable,Pathogen,protomyces
Nosema,Pathotroph,|Insect Pathogen|,Probable,Pathogen,nosema
Hepatospora,Pathotroph,|Animal Parasite|,Probable,NA,hepatospora
Spraguea,Pathotroph,|Animal Parasite|,Probable,NA,spraguea
Meyerozyma,Saprotroph-Symbiotroph,Endophyte-|Epiphyte|-Undefined Saprotroph,Probable,Endophyte,meyerozyma
Scheffersomyces,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Undefined Saprotroph,Highly Probable,Other saprotroph,scheffersomyces
Nakazawaea,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,nakazawaea
Mitosporidium,Pathotroph,|Animal Parasite|,Probable,NA,mitosporidium
Paramicrosporidium,Pathotroph,|Protist Parasite|,Probable,NA,paramicrosporidium
Pseudoloma, Pathotroph,|Animal Parasite|,Probable,NA,pseudoloma
Zygosaccharomyces,Pathotroph-Saprotroph,Plant Pathogen-|Undefined Saprotroph|,Probable,Pathogen,zygosaccharomyces
Saturnispora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,saturnispora
Kuraishia,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Undefined Saprotroph,Probable,Other saprotroph,kuraishia
Komagataella,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,komagataella
Wickerhamiella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,wickerhamiella
